Раздел,Показатель,Значение,Заказы,Выручка
Сводка,orders,1,,
Сводка,revenue,1200.00,,
Сводка,avg_check,1200.00,,
Сводка,clients,1,,
Сводка,active_clients,1,,
Сводка,deliveries,1,,
Сводка,delivered,1,,
Сводка,delivery_success_rate,100.0,,
Сводка,users,2,,
Сводка,active_users,2,,
Сводка,roles,2,,
Сводка,couriers,0,,
Сводка,routes,0,,
Сводка,reports,1,,
Статусы заказов,Отгружен,1,,
Статусы доставок,Доставлено,1,,
Динамика,2026-05-13,,1,1200.00
Топ клиентов,Кафе Тест,,1,1200.00
Типы клиентов,Кафе,,1,1200.00
Пользователи по ролям,Менеджер,1,,
Пользователи по ролям,Администратор системы,1,,
