Раздел,Показатель,Значение,Заказы,Выручка
Сводка,orders,10,,
Сводка,revenue,276250.00,,
Сводка,avg_check,27625.00,,
Сводка,clients,10,,
Сводка,active_clients,7,,
Сводка,deliveries,10,,
Сводка,delivered,2,,
Сводка,delivery_success_rate,20.0,,
Статусы заказов,Отгружен,2,,
Статусы заказов,В производстве,2,,
Статусы заказов,На проверке,2,,
Статусы заказов,Подтвержден производством,2,,
Статусы заказов,Готов к отгрузке,2,,
Статусы доставок,Доставлено,2,,
Статусы доставок,Запланировано,6,,
Статусы доставок,В пути,2,,
Динамика,2026-05-13,,10,276250.00
Топ клиентов,Офисный центр «Пресня»,,1,35500.00
Топ клиентов,Магазин «Земляной Вал»,,1,33750.00
Топ клиентов,Ресторан «Пятницкая»,,1,32000.00
Топ клиентов,Кафе «Мясницкая 24»,,1,30250.00
Топ клиентов,Кулинария «Большая Дмитровка»,,1,28500.00
Топ клиентов,Маркет «Ленинградский»,,1,26750.00
Топ клиентов,Бистро «Кутузовский»,,1,25000.00
Топ клиентов,Гастробар «Новый Арбат»,,1,23250.00
Топ клиентов,Кафе «Тверская 7»,,1,21500.00
Топ клиентов,Ресторан «Красная Площадь»,,1,19750.00
Типы клиентов,Кафе,,3,76750.00
Типы клиентов,Ресторан,,3,75000.00
Типы клиентов,Магазин,,3,89000.00
Типы клиентов,Другое,,1,35500.00
